filename,verdict,ground_truth,failure_mode,reason,latency_ms,border_content_ratio,contrast,fft_asymmetry,fft_hf_ratio,glare_ratio,laplacian_p95,laplacian_var,mean_brightness,tenengrad,wavelet_hh_energy
IMG-20260526-WA0105.jpg,usable,usable,none,image is acceptable,89.37,0.2462,50.12,0.0,0.01,0.0,3625.75,1450.3,127.28,60.39,43.51
IMG-20260526-WA0106.jpg,usable,usable,none,image is acceptable,88.68,0.2293,34.72,0.0,0.01,0.0,3608.7,1443.48,114.27,55.79,43.3
IMG-20260526-WA0107.jpg,usable,usable,none,image is acceptable,96.27,0.2707,49.28,0.0,0.01,0.0,7283.65,2913.46,126.42,81.63,87.4
IMG-20260526-WA0108.jpg,usable,usable,none,image is acceptable,86.4,0.2708,46.89,0.0,0.01,0.0,4643.6,1857.44,129.23,67.81,55.72
IMG-20260526-WA0109.jpg,usable,usable,none,image is acceptable,93.95,0.2849,46.97,0.0,0.01,0.0,6413.6,2565.44,128.58,76.97,76.96
IMG-20260526-WA0110.jpg,usable,usable,none,image is acceptable,95.09,0.2816,49.43,0.0,0.01,0.0,5368.12,2147.25,128.22,71.96,64.42
IMG-20260526-WA0111.jpg,usable,usable,none,image is acceptable,89.08,0.2649,50.21,0.0,0.01,0.0,4498.5,1799.4,131.53,67.58,53.98
IMG-20260526-WA0112.jpg,usable,usable,none,image is acceptable,88.4,0.2493,50.72,0.0,0.01,0.0,3717.72,1487.09,130.58,61.93,44.61
IMG-20260526-WA0114.jpg,usable,usable,none,image is acceptable,88.53,0.2209,41.59,0.0,0.01,0.0,5091.52,2036.61,125.95,71.89,61.1
IMG-20260526-WA0115.jpg,usable,usable,none,image is acceptable,89.29,0.3022,49.37,0.0,0.01,0.0,4878.65,1951.46,128.79,78.74,58.54
IMG-20260526-WA0117.jpg,usable,usable,none,image is acceptable,92.63,0.2913,50.4,0.0,0.01,0.0,6222.27,2488.91,130.75,82.58,74.67
IMG-20260526-WA0118.jpg,usable,usable,none,image is acceptable,92.01,0.2802,47.62,0.0,0.01,0.0,5490.95,2196.38,129.37,77.97,65.89
IMG-20260526-WA0119.jpg,usable,usable,none,image is acceptable,91.95,0.2787,49.92,0.0,0.01,0.0,4947.2,1978.88,127.08,80.58,59.37
IMG-20260526-WA0121.jpg,usable,usable,none,image is acceptable,90.94,0.301,50.91,0.0,0.01,0.0,5077.57,2031.03,129.98,78.75,60.93
IMG-20260526-WA0123.jpg,usable,usable,none,image is acceptable,96.04,0.2732,49.92,0.0,0.01,0.0,6132.47,2452.99,128.12,81.09,73.59
IMG-20260526-WA0125.jpg,usable,usable,none,image is acceptable,96.49,0.2707,50.2,0.0,0.01,0.0,7256.35,2902.54,126.13,89.86,87.08
IMG-20260526-WA0126.jpg,usable,usable,none,image is acceptable,91.58,0.257,48.77,0.0,0.01,0.0,6267.7,2507.08,124.76,83.4,75.21
IMG-20260526-WA0127.jpg,usable,usable,none,image is acceptable,94.45,0.2742,49.63,0.0,0.01,0.0,6410.7,2564.28,128.46,83.52,76.93
IMG-20260526-WA0128.jpg,usable,usable,none,image is acceptable,94.01,0.2787,47.02,0.0,0.01,0.0,4913.23,1965.29,128.68,73.35,58.96
IMG-20260526-WA0129.jpg,usable,usable,none,image is acceptable,97.96,0.2403,47.52,0.0,0.01,0.0,6787.88,2715.15,128.08,83.28,81.45
IMG-20260526-WA0130.jpg,usable,usable,none,image is acceptable,99.06,0.2562,50.65,0.0,0.01,0.0,7588.95,3035.58,126.32,90.73,91.07
IMG-20260526-WA0131.jpg,usable,usable,none,image is acceptable,100.85,0.239,47.97,0.0,0.01,0.0,6710.92,2684.37,126.82,84.1,80.53
IMG-20260526-WA0132.jpg,usable,usable,none,image is acceptable,115.82,0.2896,47.61,0.0,0.01,0.0,6732.9,2693.16,127.85,85.44,80.79
IMG-20260526-WA0133.jpg,usable,usable,none,image is acceptable,89.67,0.2744,48.72,0.0,0.01,0.0,6290.12,2516.05,126.52,81.47,75.48
IMG-20260526-WA0134.jpg,usable,usable,none,image is acceptable,99.92,0.287,48.67,0.0,0.01,0.0,6963.8,2785.52,123.21,87.07,83.57
IMG-20260526-WA0135.jpg,usable,usable,none,image is acceptable,97.9,0.2583,48.81,0.0,0.01,0.0,6353.52,2541.41,122.89,84.46,76.24
IMG-20260526-WA0136.jpg,usable,usable,none,image is acceptable,98.07,0.2968,49.7,0.0,0.01,0.0,6521.2,2608.48,126.69,83.62,78.25
IMG-20260526-WA0137.jpg,usable,usable,none,image is acceptable,94.89,0.2784,48.82,0.0,0.01,0.0,6843.45,2737.38,121.21,86.53,82.12
IMG-20260526-WA0138.jpg,usable,usable,none,image is acceptable,87.69,0.2668,47.28,0.0,0.01,0.0,5673.52,2269.41,124.27,79.84,68.08
IMG-20260526-WA0139.jpg,usable,usable,none,image is acceptable,102.31,0.2674,50.6,0.0,0.01,0.0,7369.18,2947.67,127.28,89.57,88.43
IMG-20260526-WA0140.jpg,usable,usable,none,image is acceptable,21.25,0.1257,57.49,0.0,0.01,0.0,6541.68,2616.67,158.48,66.48,78.5
